image_name,ra_deg,dec_deg,orientation_class
stars-000.png,132.5,22.5001,3
stars-001.png,97.5,-52.5001,6
stars-002.png,162.5,-2.5001,10
stars-003.png,357.5,57.5001,4
stars-004.png,87.5,82.5001,8
stars-005.png,102.5,-22.5001,6
stars-006.png,202.5,-22.5001,10
stars-007.png,347.5,-77.5001,1
stars-008.png,52.5,-2.5001,11
stars-009.png,22.5,22.5001,4
stars-010.png,2.5,-22.5001,11
stars-011.png,107.5,-42.5001,6
stars-012.png,307.5,-42.5001,0
stars-013.png,337.5,77.5001,8
stars-014.png,67.5,-52.5001,11
stars-015.png,347.5,-12.5001,0
stars-016.png,62.5,-22.5001,11
stars-017.png,192.5,67.5001,8
stars-018.png,62.5,-42.5001,11
stars-019.png,297.5,12.5001,5
stars-020.png,217.5,-12.5001,7
stars-021.png,167.5,-2.5001,10
stars-022.png,352.5,67.5001,8
stars-023.png,42.5,-67.5001,1
stars-024.png,117.5,-82.5001,1
stars-025.png,127.5,-47.5001,6
stars-026.png,312.5,62.5001,8
stars-027.png,62.5,32.5001,2
stars-028.png,337.5,27.5001,4
stars-029.png,212.5,-32.5001,10
stars-030.png,297.5,-2.5001,5
stars-031.png,207.5,62.5001,8
stars-032.png,292.5,-67.5001,1
stars-033.png,97.5,22.5001,2
stars-034.png,132.5,2.5001,3
stars-035.png,212.5,-47.5001,10
stars-036.png,22.5,-22.5001,11
stars-037.png,212.5,-7.5001,7
stars-038.png,17.5,72.5001,8
stars-039.png,317.5,-77.5001,1
stars-040.png,32.5,47.5001,4
stars-041.png,117.5,-57.5001,6
stars-042.png,232.5,-72.5001,1
stars-043.png,62.5,52.5001,2
stars-044.png,187.5,7.5001,7
stars-045.png,172.5,52.5001,3
stars-046.png,242.5,-27.5001,9
stars-047.png,152.5,17.5001,3
stars-048.png,102.5,17.5001,2
stars-049.png,137.5,-57.5001,1
stars-050.png,127.5,87.5001,8
stars-051.png,102.5,42.5001,2
stars-052.png,177.5,-47.5001,10
stars-053.png,27.5,-42.5001,11
stars-054.png,172.5,-2.5001,10
stars-055.png,42.5,12.5001,2
stars-056.png,352.5,-22.5001,0
stars-057.png,57.5,17.5001,2
stars-058.png,357.5,-62.5001,1
stars-059.png,132.5,-32.5001,6
stars-060.png,92.5,-32.5001,6
stars-061.png,27.5,12.5001,4
stars-062.png,17.5,2.5001,4
stars-063.png,277.5,-27.5001,9
stars-064.png,132.5,7.5001,3
stars-065.png,92.5,67.5001,8
stars-066.png,357.5,22.5001,4
stars-067.png,337.5,7.5001,4
stars-068.png,267.5,-22.5001,9
stars-069.png,312.5,7.5001,5
stars-070.png,62.5,37.5001,2
stars-071.png,12.5,-62.5001,1
stars-072.png,202.5,-47.5001,10
stars-073.png,22.5,52.5001,4
stars-074.png,162.5,67.5001,8
stars-075.png,202.5,2.5001,7
stars-076.png,107.5,2.5001,6
stars-077.png,32.5,7.5001,4
stars-078.png,137.5,77.5001,8
stars-079.png,337.5,37.5001,4
stars-080.png,77.5,57.5001,2
stars-081.png,242.5,82.5001,8
stars-082.png,252.5,52.5001,5
stars-083.png,247.5,37.5001,7
stars-084.png,272.5,-2.5001,9
stars-085.png,312.5,12.5001,5
stars-086.png,247.5,-52.5001,9
stars-087.png,252.5,-2.5001,9
stars-088.png,17.5,-7.5001,11
