image_name,ra_deg,dec_deg,orientation_class
stars-000.png,0.0,-90.0,1
stars-001.png,0.0,-85.0,1
stars-002.png,0.0,-80.0,1
stars-003.png,0.0,-75.0,1
stars-004.png,0.0,-70.0,1
stars-005.png,0.0,-65.0,1
stars-006.png,0.0,-60.0,1
stars-007.png,0.0,-55.0,10
stars-008.png,0.0,-50.0,10
stars-009.png,0.0,-45.0,10
stars-010.png,0.0,-40.0,10
stars-011.png,0.0,-35.0,10
stars-012.png,0.0,-30.0,10
stars-013.png,0.0,-25.0,10
stars-014.png,0.0,-20.0,10
stars-015.png,0.0,-15.0,10
stars-016.png,0.0,-10.0,10
stars-017.png,0.0,-5.0,10
stars-018.png,0.0,0.0,10
stars-019.png,0.0,5.0,11
stars-020.png,0.0,10.0,11
stars-021.png,0.0,15.0,11
stars-022.png,0.0,20.0,11
stars-023.png,0.0,25.0,11
stars-024.png,0.0,30.0,11
stars-025.png,0.0,35.0,11
stars-026.png,0.0,40.0,11
stars-027.png,0.0,45.0,11
stars-028.png,0.0,50.0,11
stars-029.png,0.0,55.0,11
stars-030.png,0.0,60.0,5
stars-031.png,0.0,65.0,5
stars-032.png,0.0,70.0,5
stars-033.png,0.0,75.0,5
stars-034.png,0.0,80.0,5
stars-035.png,0.0,85.0,5
stars-036.png,5.0,-90.0,1
stars-037.png,5.0,-85.0,1
stars-038.png,5.0,-80.0,1
stars-039.png,5.0,-75.0,1
stars-040.png,5.0,-70.0,1
stars-041.png,5.0,-65.0,1
stars-042.png,5.0,-60.0,1
stars-043.png,5.0,-55.0,10
stars-044.png,5.0,-50.0,10
stars-045.png,5.0,-45.0,10
stars-046.png,5.0,-40.0,10
stars-047.png,5.0,-35.0,10
stars-048.png,5.0,-30.0,10
stars-049.png,5.0,-25.0,10
stars-050.png,5.0,-20.0,10
stars-051.png,5.0,-15.0,10
stars-052.png,5.0,-10.0,10
stars-053.png,5.0,-5.0,10
stars-054.png,5.0,0.0,10
stars-055.png,5.0,5.0,11
stars-056.png,5.0,10.0,11
stars-057.png,5.0,15.0,11
stars-058.png,5.0,20.0,11
stars-059.png,5.0,25.0,11
stars-060.png,5.0,30.0,11
stars-061.png,5.0,35.0,11
stars-062.png,5.0,40.0,11
stars-063.png,5.0,45.0,11
stars-064.png,5.0,50.0,11
stars-065.png,5.0,55.0,11
stars-066.png,5.0,60.0,11
stars-067.png,5.0,65.0,5
stars-068.png,5.0,70.0,5
stars-069.png,5.0,75.0,5
stars-070.png,5.0,80.0,5
stars-071.png,5.0,85.0,5
stars-072.png,10.0,-90.0,1
stars-073.png,10.0,-85.0,1
stars-074.png,10.0,-80.0,1
stars-075.png,10.0,-75.0,1
stars-076.png,10.0,-70.0,1
stars-077.png,10.0,-65.0,1
stars-078.png,10.0,-60.0,1
stars-079.png,10.0,-55.0,10
stars-080.png,10.0,-50.0,10
stars-081.png,10.0,-45.0,10
stars-082.png,10.0,-40.0,10
stars-083.png,10.0,-35.0,10
stars-084.png,10.0,-30.0,10
stars-085.png,10.0,-25.0,10
stars-086.png,10.0,-20.0,10
stars-087.png,10.0,-15.0,10
stars-088.png,10.0,-10.0,10
stars-089.png,10.0,-5.0,10
stars-090.png,10.0,0.0,11
stars-091.png,10.0,5.0,11
stars-092.png,10.0,10.0,11
stars-093.png,10.0,15.0,11
stars-094.png,10.0,20.0,11
stars-095.png,10.0,25.0,11
stars-096.png,10.0,30.0,11
stars-097.png,10.0,35.0,11
stars-098.png,10.0,40.0,11
stars-099.png,10.0,45.0,11
stars-100.png,10.0,50.0,11
stars-101.png,10.0,55.0,11
stars-102.png,10.0,60.0,11
stars-103.png,10.0,65.0,5
stars-104.png,10.0,70.0,5
stars-105.png,10.0,75.0,5
stars-106.png,10.0,80.0,5
stars-107.png,10.0,85.0,5
stars-108.png,15.0,-90.0,1
stars-109.png,15.0,-85.0,1
stars-110.png,15.0,-80.0,1
stars-111.png,15.0,-75.0,1
stars-112.png,15.0,-70.0,1
stars-113.png,15.0,-65.0,1
stars-114.png,15.0,-60.0,1
stars-115.png,15.0,-55.0,10
stars-116.png,15.0,-50.0,10
stars-117.png,15.0,-45.0,10
stars-118.png,15.0,-40.0,10
stars-119.png,15.0,-35.0,10
stars-120.png,15.0,-30.0,10
stars-121.png,15.0,-25.0,10
stars-122.png,15.0,-20.0,10
stars-123.png,15.0,-15.0,10
stars-124.png,15.0,-10.0,10
stars-125.png,15.0,-5.0,10
stars-126.png,15.0,0.0,11
stars-127.png,15.0,5.0,11
stars-128.png,15.0,10.0,11
stars-129.png,15.0,15.0,11
stars-130.png,15.0,20.0,11
stars-131.png,15.0,25.0,11
stars-132.png,15.0,30.0,11
stars-133.png,15.0,35.0,11
stars-134.png,15.0,40.0,11
stars-135.png,15.0,45.0,11
stars-136.png,15.0,50.0,11
stars-137.png,15.0,55.0,11
stars-138.png,15.0,60.0,11
stars-139.png,15.0,65.0,5
stars-140.png,15.0,70.0,5
stars-141.png,15.0,75.0,5
stars-142.png,15.0,80.0,5
stars-143.png,15.0,85.0,5
stars-144.png,20.0,-90.0,1
stars-145.png,20.0,-85.0,1
stars-146.png,20.0,-80.0,1
stars-147.png,20.0,-75.0,1
stars-148.png,20.0,-70.0,1
stars-149.png,20.0,-65.0,1
stars-150.png,20.0,-60.0,1
stars-151.png,20.0,-55.0,10
stars-152.png,20.0,-50.0,10
stars-153.png,20.0,-45.0,10
stars-154.png,20.0,-40.0,10
stars-155.png,20.0,-35.0,10
stars-156.png,20.0,-30.0,10
stars-157.png,20.0,-25.0,10
stars-158.png,20.0,-20.0,10
stars-159.png,20.0,-15.0,10
stars-160.png,20.0,-10.0,10
stars-161.png,20.0,-5.0,11
stars-162.png,20.0,0.0,11
stars-163.png,20.0,5.0,11
stars-164.png,20.0,10.0,11
stars-165.png,20.0,15.0,11
stars-166.png,20.0,20.0,11
stars-167.png,20.0,25.0,11
stars-168.png,20.0,30.0,11
stars-169.png,20.0,35.0,11
stars-170.png,20.0,40.0,11
stars-171.png,20.0,45.0,11
stars-172.png,20.0,50.0,11
stars-173.png,20.0,55.0,11
stars-174.png,20.0,60.0,11
stars-175.png,20.0,65.0,5
stars-176.png,20.0,70.0,5
stars-177.png,20.0,75.0,5
stars-178.png,20.0,80.0,5
stars-179.png,20.0,85.0,5
stars-180.png,25.0,-90.0,1
